# Data symbols newly DEFINED in config/symbols.main.exe.txt.
# datamatch     = reference alignment inside functions named on both sides
#                 (tools/datamatch.py; 100% control precision on 105 addrs)
# ghidra-export = already named in the Ghidra program for THIS binary but
#                 never adopted, because import_symbols could only rename
#                 existing entries, not define new ones.
#addr	name	source	evidence	storage	type
80010000	PersistentState	ghidra-export	same binary, address-keyed	?	?
80012980	MusicTable	ghidra-export	same binary, address-keyed	?	?
8005d010	DepthPoint	ghidra-export	same binary, address-keyed	?	?
8005d014	SlightPoint	ghidra-export	same binary, address-keyed	?	?
80060750	CdReset	ghidra-export	same binary, address-keyed	?	?
800607dc	CdSetDebug	ghidra-export	same binary, address-keyed	?	?
800607f0	CdComstr	ghidra-export	same binary, address-keyed	?	?
80060824	CdIntstr	ghidra-export	same binary, address-keyed	?	?
80062520	CD_set_test_parmnum	ghidra-export	same binary, address-keyed	?	?
80064e14	GsGetActiveBuff	ghidra-export	same binary, address-keyed	?	?
800650d4	GsInitCoord2param	ghidra-export	same binary, address-keyed	?	?
8006512c	GsSetLightMatrix	ghidra-export	same binary, address-keyed	?	?
80069384	GsA4divTNG4	ghidra-export	same binary, address-keyed	?	?
8006a094	GsA4divTNF4	ghidra-export	same binary, address-keyed	?	?
8006ac64	GsA4divNG4	ghidra-export	same binary, address-keyed	?	?
8006b834	GsA4divNF4	ghidra-export	same binary, address-keyed	?	?
8006c2c4	GsA4divTNG3	ghidra-export	same binary, address-keyed	?	?
8006cd94	GsA4divNG3	ghidra-export	same binary, address-keyed	?	?
8006d754	GsA4divTNF3	ghidra-export	same binary, address-keyed	?	?
8006e124	GsA4divNF3	ghidra-export	same binary, address-keyed	?	?
80071b44	note2pitch	ghidra-export	same binary, address-keyed	?	?
80073154	SsVabOpenHeadSticky	ghidra-export	same binary, address-keyed	?	?
80073188	SsVabFakeHead	ghidra-export	same binary, address-keyed	?	?
800760d8	tolower	ghidra-export	same binary, address-keyed	?	?
80078574	SetVertex0	ghidra-export	same binary, address-keyed	?	?
80078584	SetVertex1	ghidra-export	same binary, address-keyed	?	?
80078594	SetVertex2	ghidra-export	same binary, address-keyed	?	?
